************************************************************************************************************************************
 
                 Energy Levels and statistical weights for JNK
 
                         g          E(cm^-1)     10^15 Hz      eV        Lam(A)       ID      ARAD         C4          C6
************************************************************************************************************************************
 
17-Jun-2014                                      !Format date
11-Jan-2023                                      !Date
649                                              !Number of energy levels
221735.6000                                      !Ionization energy
3.0                                              !Screened nuclear charge
21774                                            !Number of transitions
 
3d4d_1De[2]             5.0     135405.270000     2.58812    10.704    1.158E+03      43   1.263E+09  -4.580E-16   1.740E-32
3d4d_3Pe[0]             1.0     135541.460000     2.58404    10.687    1.160E+03      44   1.302E+09  -4.030E-16   1.660E-32
3d4d_3Pe[1]             3.0     135601.470000     2.58224    10.679    1.161E+03      45   1.295E+09  -4.020E-16   1.660E-32
3d4d_3Pe[2]             5.0     135721.510000     2.57864    10.664    1.163E+03      46   1.268E+09  -6.630E-16   1.960E-32
3d4d_1Ge[4]             9.0     136339.740000     2.56010    10.588    1.171E+03      47   1.248E+09  -4.050E-16   1.710E-32
4s4p_3Po[0]             1.0     137258.900000     2.53255    10.474    1.184E+03      48   5.127E+09  -6.140E-17   7.280E-33
4s4p_3Po[1]             3.0     137487.800000     2.52569    10.445    1.187E+03      49   5.163E+09  -6.190E-17   7.280E-33
4s4p_3Po[2]             5.0     137961.200000     2.51149    10.387    1.194E+03      50   5.004E+09  -6.260E-17   7.280E-33
3d4d_1Se[0]             1.0     140019.240000     2.44979    10.132    1.224E+03      51   1.199E+09  -6.250E-16   1.900E-32
3d5p_1Do[2]             5.0     147212.770000     2.23414     9.240    1.342E+03      52   2.819E+08   1.370E-16   3.020E-32
3d5p_3Do[1]             3.0     147562.140000     2.22366     9.196    1.348E+03      53   3.682E+08   8.240E-17   3.040E-32
3d5p_3Do[2]             5.0     147749.890000     2.21804     9.173    1.352E+03      54   3.280E+08   3.320E-17   3.040E-32
3d5p_3Fo[2]             5.0     147931.470000     2.21259     9.151    1.355E+03      55   2.901E+08   4.500E-18   3.050E-32
3d5p_3Do[3]             7.0     147939.470000     2.21235     9.150    1.355E+03      56   3.354E+08   3.380E-17   3.040E-32
3d5p_3Fo[3]             7.0     148111.100000     2.20721     9.128    1.358E+03      57   2.951E+08  -1.190E-17   3.050E-32
3d5p_3Fo[4]             9.0     148410.240000     2.19824     9.091    1.364E+03      58   2.610E+08  -6.260E-17   3.060E-32
3d5p_3Po[1]             3.0     148978.720000     2.18120     9.021    1.374E+03      59   3.241E+08  -3.760E-17   3.100E-32
3d5p_3Po[0]             1.0     149019.750000     2.17997     9.016    1.375E+03      60   2.905E+08  -4.650E-17   3.110E-32
3d5p_3Po[2]             5.0     149267.990000     2.17252     8.985    1.380E+03      61   3.071E+08  -4.350E-17   3.110E-32
3d5p_1Po[1]             3.0     149403.520000     2.16846     8.968    1.383E+03      62   5.073E+08  -1.840E-17   3.080E-32
3d5p_1Fo[3]             7.0     149655.770000     2.16090     8.937    1.387E+03      63   4.411E+08   5.660E-17   3.140E-32
4s4p_1Po[1]             3.0     157204.160000     1.93460     8.001    1.550E+03      64   8.357E+09  -1.080E-16   1.720E-32
3d4f_1Go[4]             9.0     158285.340000     1.90219     7.867    1.576E+03      65   1.146E+09  -3.920E-16   2.230E-32
3d4f_3Fo[2]             5.0     158536.630000     1.89466     7.836    1.582E+03      66   1.482E+09  -3.980E-16   2.260E-32
3d4f_3Fo[3]             7.0     158557.760000     1.89402     7.833    1.583E+03      67   1.913E+09  -3.850E-16   2.270E-32
3d4f_3Fo[4]             9.0     158690.850000     1.89003     7.817    1.586E+03      68   1.565E+09  -3.990E-16   2.260E-32
3d4f_3Go[3]             7.0     158740.920000     1.88853     7.810    1.587E+03      69   2.838E+09  -3.600E-16   2.310E-32
3d4f_3Go[4]             9.0     158865.030000     1.88481     7.795    1.591E+03      70   1.066E+09  -4.180E-16   2.260E-32
3d4f_3Go[5]            11.0     158903.550000     1.88366     7.790    1.592E+03      71   1.501E+09  -4.040E-16   2.280E-32
3d4f_3Ho[4]             9.0     159022.930000     1.88008     7.775    1.595E+03      72   2.475E+09  -3.780E-16   2.290E-32
3d4f_1Do[2]             5.0     159123.780000     1.87706     7.763    1.597E+03      73   1.829E+09  -3.960E-16   2.300E-32
3d4f_3Ho[5]            11.0     159128.940000     1.87690     7.762    1.597E+03      74   2.228E+09  -3.850E-16   2.290E-32
3d4f_1Fo[3]             7.0     159180.240000     1.87536     7.756    1.599E+03      75   2.603E+09  -3.720E-16   2.320E-32
