 HeI  11    13     3     4   21132.
 0.47E19   0.000   0.10E14  6 
  2500.00   5000.00   10000.0   20000.0   40000.0   80000.0 
  .272e-1   .288e-1   .289e-1   .285e-1   .284e-1   .273e-1 
  .162e-1   .173e-1   .163e-1   .135e-1   .100e-1   .734e-2
  .520e-2   .583e-2   .654e-2   .735e-2   .829e-2   .940e-2
  .481e-2   .543e-2   .612e-2   .688e-2   .774e-2   .871e-2
  .448e-2   .502e-2   .563e-2   .631e-2   .709e-2   .798e-2
  .412e-2   .466e-2   .525e-2   .591e-2   .664e-2   .746e-2
 HeI  11    16     3     4   19089.35
 0.18E18   0.000   0.10E14  6 
  2500.00   5000.00   10000.0   20000.0   40000.0   80000.0 
  .756e-1   .684e-1   .598e-1   .512e-1   .432e-1   .363e-1 
  .242e-1   .180e-1   .105e-1   .711e-2   .371e-2   .232e-2
  .338e-1   .388e-1   .436e-1   .455e-1   .423e-1   .360e-1
  .298e-1   .343e-1   .400e-1   .465e-1   .518e-1   .534e-1
  .285e-1   .324e-1   .372e-1   .423e-1   .454e-1   .438e-1
  .254e-1   .291e-1   .333e-1   .384e-1   .447e-1   .506e-1  
 HeI  11    21     3     4   13411.68
 0.19E19   0.000   0.10E14  6 
  2500.00   5000.00   10000.0   20000.0   40000.0   80000.0 
  .239e-1   .251e-1   .254e-1   .254e-1   .257e-1   .245e-1 
  .159e-1   .168e-1   .154e-1   .121e-1   .831e-2   .501e-2
  .461e-2   .518e-2   .581e-2   .653e-2   .733e-2   .826e-2
  .425e-2   .482e-2   .544e-2   .613e-2   .690e-2   .775e-2
  .397e-2   .445e-2   .499e-2   .560e-2   .629e-2   .707e-2
  .364e-2   .413e-2   .467e-2   .526e-2   .592e-2   .666e-2
 HeI  11    24     3     4   12968.43
 0.54E17   0.000   0.10E14  6 
  2500.00   5000.00   10000.0   20000.0   40000.0   80000.0 
  .103e+0   .917e-1   .796e-1   .675e-1   .563e-1   .465e-1 
  .297e-1   .195e-1   .132e-1   .695e-2   .418e-2   .191e-2
  .481e-1   .552e-1   .627e-1   .668e-1   .636e-1   .540e-1
  .410e-1   .478e-1   .560e-1   .657e-1   .745e-1   .784e-1
  .407e-1   .461e-1   .528e-1   .604e-1   .662e-1   .655e-1
  .347e-1   .404e-1   .466e-1   .539e-1   .631e-1   .725e-1  
 HeI  11    31     3     4   11225.93
 0.13E19   0.000   0.10E14  6 
  2500.00   5000.00   10000.0   20000.0   40000.0   80000.0 
  .354e-1   .366e-1   .374e-1   .378e-1   .381e-1   .357e-1 
  .246e-1   .254e-1   .230e-1   .167e-1   .108e-1   .515e-2
  .717e-2   .805e-2   .904e-2   .102e-1   .114e-1   .128e-1
  .654e-2   .745e-2   .844e-2   .952e-2   .107e-1   .121e-1
  .616e-2   .692e-2   .777e-2   .872e-2   .979e-2   .110e-1
  .558e-2   .637e-2   .723e-2   .817e-2   .920e-2   .104e-1
 HeI  11    34     3     4   11044.98
 0.18E17   0.000   0.10E14  6 
  2500.00   5000.00   10000.0   20000.0   40000.0   80000.0 
  .181e+0   .160e+0   .137e+0   .115e+0   .954e-1   .779e-1 
  .412e-1   .275e-1   .141e-1   .888e-2   .513e-2   .206e-2
  .000e-2   .000e-2   .132e+0   .133e+0   .117e+0   .922e-1
  .000e-2   .000e-2   .118e+0   .139e+0   .153e+0   .155e+0
  .000e-2   .000e-2   .000e-2   .000e-2   .134e+0   .124e+0
  .000e-2   .000e-2   .000e-2   .000e-2   .135e+0   .152e+0  
 HeI   8    12     3     4   21120.20
 0.24E20   0.000   0.10E14  6 
  2500.00   5000.00   10000.0   20000.0   40000.0   80000.0 
  .111e-1   .137e-1   .155e-1   .170e-1   .179e-1   .186e-1 
  .634e-2   .744e-2   .796e-2   .769e-2   .625e-2   .509e-2
  .197e-2   .219e-2   .244e-2   .273e-2   .305e-2   .341e-2
  .177e-2   .199e-2   .224e-2   .251e-2   .282e-2   .317e-2
