************************************************************************************************************************************
 
                 Energy levels and statistical weights for hope
                 Altered: 20-Nov-2018 - f values for 7 "weak" transitions fixed.
 
                g          E(cm^-1)     10^15 Hz      eV        Lam(A)       ID      ARAD         C4          C6
************************************************************************************************************************************
 
17-Jun-2014                                      !Format date
20-Nov-2018                                      !Date
162                                              !Number of energy levels
49305.0000                                       !Ionization energy
1.0                                              !Screened nuclear charge
3349                                             !Number of transitions
 
4s9s1Se        1.0      46835.055000     0.07405     0.306    4.049E+04      53   8.541E+06   0.000E+00   0.000E+00
4s8d1De        5.0      46948.980000     0.07063     0.292    4.244E+04      54   9.877E+06   0.000E+00   0.000E+00
4s7f3Fo       21.0      47006.291000     0.06891     0.285    4.350E+04      55   8.197E+06   0.000E+00   0.000E+00
4s7f1Fo        7.0      47015.141000     0.06865     0.284    4.367E+04      56   1.041E+07   0.000E+00   0.000E+00
4s8d3De       15.0      47040.491000     0.06789     0.281    4.416E+04      57   1.051E+07   0.000E+00   0.000E+00
4s7g3Ge       27.0      47052.641430     0.06752     0.279    4.440E+04      58   1.936E+06   0.000E+00   0.000E+00
4s7g1Ge        9.0      47052.641430     0.06752     0.279    4.440E+04      59   2.255E+06   0.000E+00   0.000E+00
4s7h1Ho       11.0      47064.213397     0.06718     0.278    4.463E+04      60   1.082E+06   0.000E+00   0.000E+00
4s7h3Ho       33.0      47064.213397     0.06718     0.278    4.463E+04      61   1.083E+06   0.000E+00   0.000E+00
4s7z3Z        39.0      47065.493664     0.06714     0.278    4.465E+04      62   7.468E+05   0.000E+00   0.000E+00
4s7z1Z        13.0      47065.493664     0.06714     0.278    4.465E+04      63   7.468E+05   0.000E+00   0.000E+00
4s9p3Po        9.0      47086.185000     0.06652     0.275    4.507E+04      64   7.034E+05   0.000E+00   0.000E+00
4s9p1Po        3.0      47184.370000     0.06357     0.263    4.716E+04      65   1.758E+07   0.000E+00   0.000E+00
3d21Ge         9.0      47286.530000     0.06051     0.250    4.954E+04      66   5.937E+06   0.000E+00   0.000E+00
4s10s3Se       3.0      47382.048000     0.05765     0.238    5.200E+04      67   3.574E+06   0.000E+00   0.000E+00
4s10s1Se       1.0      47437.471000     0.05599     0.232    5.355E+04      68   4.956E+06   0.000E+00   0.000E+00
4s8f3Fo       21.0      47550.285000     0.05261     0.218    5.699E+04      69   5.496E+06   0.000E+00   0.000E+00
4s8f1Fo        7.0      47555.230000     0.05246     0.217    5.715E+04      70   6.836E+06   0.000E+00   0.000E+00
4s8g1Ge        9.0      47581.772594     0.05166     0.214    5.803E+04      71   1.786E+06   0.000E+00   0.000E+00
4s8g3Ge       27.0      47581.772594     0.05166     0.214    5.803E+04      72   1.322E+06   0.000E+00   0.000E+00
4s8h1Ho       11.0      47589.520329     0.05143     0.213    5.829E+04      73   7.291E+05   0.000E+00   0.000E+00
4s8h3Ho       33.0      47589.520329     0.05143     0.213    5.829E+04      74   7.280E+05   0.000E+00   0.000E+00
4s8z3Z        84.0      47590.377961     0.05140     0.213    5.832E+04      75   4.325E+05   0.000E+00   0.000E+00
